name,split,accuracy,auc,f1,precision,recall
baseline,test_baseline.txt,1.0,1.0,1.0,1.0,1.0
jpeg_q90,test_jpeg_q90.txt,1.0,1.0,1.0,1.0,1.0
jpeg_q70,test_jpeg_q70.txt,1.0,1.0,1.0,1.0,1.0
jpeg_q50,test_jpeg_q50.txt,1.0,1.0,1.0,1.0,1.0
jpeg_q30,test_jpeg_q30.txt,1.0,1.0,1.0,1.0,1.0
jpeg_q10,test_jpeg_q10.txt,0.9666666666666667,0.98,0.9655172413793104,1.0,0.9333333333333333
blur_k3,test_blur_k3.txt,1.0,1.0,1.0,1.0,1.0
blur_k5,test_blur_k5.txt,0.9666666666666667,1.0,0.967741935483871,0.9375,1.0
blur_k7,test_blur_k7.txt,0.9333333333333333,0.9966666666666667,0.9375,0.8823529411764706,1.0
blur_k11,test_blur_k11.txt,0.85,0.9533333333333333,0.8656716417910447,0.7837837837837838,0.9666666666666667
noise_s5,test_noise_s5.txt,1.0,1.0,1.0,1.0,1.0
noise_s10,test_noise_s10.txt,1.0,1.0,1.0,1.0,1.0
noise_s20,test_noise_s20.txt,0.85,0.9733333333333334,0.8363636363636363,0.92,0.7666666666666667
noise_s40,test_noise_s40.txt,0.5333333333333333,0.5555555555555556,0.125,1.0,0.06666666666666667
